"id","user_agents","details",
"504c3664-d656-11ef-9afa-acde48001122","Mozilla/5.0 (X11; U; Linux i686; en-US; rv:1.6) Gecko/20040114 Epiphany/1.0.7","Mozilla,5.0,X11,U,Linux,i686,en,US,rv,1.6,Gecko,20040114,Epiphany,1.0.7",
"50a78b7c-d656-11ef-9afa-acde48001122","Mozilla/5.0 (X11; U; Linux i686; de-AT; rv:1.6) Gecko/20040114 Epiphany/1.0.7","Mozilla,5.0,X11,U,Linux,i686,de,AT,rv,1.6,Gecko,20040114,Epiphany,1.0.7",
"50fb41e0-d656-11ef-9afa-acde48001122","Mozilla/5.0 (X11; U; Linux i686; en-US; rv:1.4) Gecko/20030908 Epiphany/0.9.2","Mozilla,5.0,X11,U,Linux,i686,en,US,rv,1.4,Gecko,20030908,Epiphany,0.9.2",
"51551de6-d656-11ef-9afa-acde48001122","Mozilla/5.0 (X11; U; Linux i586; en-US) Gecko/20030908 Epiphany/0.9.2","Mozilla,5.0,X11,U,Linux,i586,en,US,Gecko,20030908,Epiphany,0.9.2",
"51ad13c0-d656-11ef-9afa-acde48001122","Mozilla/5.0 (X11; U; Linux i686; pl-pl) AppleWebKit/525.1+ (KHTML, like Gecko, Safari/525.1+) epiphany-browser","Mozilla,5.0,X11,U,Linux,i686,pl,pl,AppleWebKit,525.1,KHTML,like,Gecko,Safari,525.1,epiphany,browser",
"5203c076-d656-11ef-9afa-acde48001122","Mozilla/5.0 (X11; U; Linux i686; en-gb) AppleWebKit/525.1+ (KHTML, like Gecko, Safari/525.1+) epiphany-webkit","Mozilla,5.0,X11,U,Linux,i686,en,gb,AppleWebKit,525.1,KHTML,like,Gecko,Safari,525.1,epiphany,webkit",
"525b2ed8-d656-11ef-9afa-acde48001122","Mozilla/4.0 (compatible; MSIE 5.23; Macintosh; PPC) Escape 5.1.8","Mozilla,4.0,compatible,MSIE,5.23,Macintosh,PPC,Escape,5.1.8",
"52b54d46-d656-11ef-9afa-acde48001122","Mozilla/5.0 (Windows; U; Windows NT 6.1; x64; fr; rv:1.9.2.13) Gecko/20101203 Firebird/3.6.13","Mozilla,5.0,Windows,U,Windows,NT,6.1,x64,fr,rv,1.9.2.13,Gecko,20101203,Firebird,3.6.13",
"531b212a-d656-11ef-9afa-acde48001122","Mozilla/5.0 (Windows; U; Windows NT 5.1; en-US; rv:1.6b) Gecko/20031212 Firebird/0.7+","Mozilla,5.0,Windows,U,Windows,NT,5.1,en,US,rv,1.6b,Gecko,20031212,Firebird,0.7,",
"53722952-d656-11ef-9afa-acde48001122","Mozilla/5.0 (Windows; U; Windows NT 5.1; en-US; rv:1.6a) Gecko/20031002 Firebird/0.7","Mozilla,5.0,Windows,U,Windows,NT,5.1,en,US,rv,1.6a,Gecko,20031002,Firebird,0.7",
"53cb37e0-d656-11ef-9afa-acde48001122","Mozilla/5.0 (Windows; U; Windows NT 5.1; en-US; rv:1.5) Gecko/20031007 Firebird/0.7","Mozilla,5.0,Windows,U,Windows,NT,5.1,en,US,rv,1.5,Gecko,20031007,Firebird,0.7",
"5423d30a-d656-11ef-9afa-acde48001122","Mozilla/5.0 (Windows; U; Windows NT 5.1; de-DE; rv:1.5) Gecko/20031007 Firebird/0.7","Mozilla,5.0,Windows,U,Windows,NT,5.1,de,DE,rv,1.5,Gecko,20031007,Firebird,0.7",
"547bd302-d656-11ef-9afa-acde48001122","Mozilla/5.0 (Windows; U; Win98; en-US; rv:1.5) Gecko/20031007 Firebird/0.7","Mozilla,5.0,Windows,U,Win98,en,US,rv,1.5,Gecko,20031007,Firebird,0.7",
"54d2547a-d656-11ef-9afa-acde48001122","Mozilla/5.0 (Windows; U; Win95; en-US; rv:1.5) Gecko/20031007 Firebird/0.7","Mozilla,5.0,Windows,U,Win95,en,US,rv,1.5,Gecko,20031007,Firebird,0.7",
"552ae1bc-d656-11ef-9afa-acde48001122","Mozilla/5.0 (Macintosh; U; PPC Mac OS X Mach-O; en-US; rv:1.5) Gecko/20031026 Firebird/0.7","Mozilla,5.0,Macintosh,U,PPC,Mac,OS,X,Mach,O,en,US,rv,1.5,Gecko,20031026,Firebird,0.7",
"5583ae50-d656-11ef-9afa-acde48001122","Mozilla/5.0 (X11; U; SunOS sun4u; en-US; rv:1.5a) Gecko/20030729 Mozilla Firebird/0.6.1","Mozilla,5.0,X11,U,SunOS,sun4u,en,US,rv,1.5a,Gecko,20030729,Mozilla,Firebird,0.6.1",
"55e081f2-d656-11ef-9afa-acde48001122","Mozilla/5.0 (X11; U; Linux i686; en-US; rv:1.5a) Gecko/20030728 Mozilla Firebird/0.6.1","Mozilla,5.0,X11,U,Linux,i686,en,US,rv,1.5a,Gecko,20030728,Mozilla,Firebird,0.6.1",
"563a67f8-d656-11ef-9afa-acde48001122","Mozilla/5.0 (Windows; U; Windows NT 6.1; en-US; rv:1.5a) Gecko/20030728 Mozilla Firebird/0.6.1","Mozilla,5.0,Windows,U,Windows,NT,6.1,en,US,rv,1.5a,Gecko,20030728,Mozilla,Firebird,0.6.1",
"5694a628-d656-11ef-9afa-acde48001122","Mozilla/5.0 (Windows; U; Windows NT 5.1; en-US; rv:1.5b) Gecko/20030819 Mozilla Firebird/0.6.1","Mozilla,5.0,Windows,U,Windows,NT,5.1,en,US,rv,1.5b,Gecko,20030819,Mozilla,Firebird,0.6.1",
"56ec2bf0-d656-11ef-9afa-acde48001122","Mozilla/5.0 (Windows; U; Windows NT 5.1; en-US; rv:1.5a) Gecko/20030728 Mozilla Firebird/0.6.1","Mozilla,5.0,Windows,U,Windows,NT,5.1,en,US,rv,1.5a,Gecko,20030728,Mozilla,Firebird,0.6.1",
"5744c3c8-d656-11ef-9afa-acde48001122","Mozilla/5.0 (Windows; U; Windows NT 5.1; de-DE; rv:1.5a) Gecko/20030728 Mozilla Firebird/0.6.1","Mozilla,5.0,Windows,U,Windows,NT,5.1,de,DE,rv,1.5a,Gecko,20030728,Mozilla,Firebird,0.6.1",
"579e032a-d656-11ef-9afa-acde48001122","Mozilla/5.0 (Windows; U; Windows NT 5.0; en-US; rv:1.5a) Gecko/20030728 Mozilla Firebird/0.6.1","Mozilla,5.0,Windows,U,Windows,NT,5.0,en,US,rv,1.5a,Gecko,20030728,Mozilla,Firebird,0.6.1",
"58190a16-d656-11ef-9afa-acde48001122","Mozilla/5.0 (Windows; U; Windows NT 5.0; de-DE; rv:1.5a) Gecko/20030728 Mozilla Firebird/0.6.1","Mozilla,5.0,Windows,U,Windows,NT,5.0,de,DE,rv,1.5a,Gecko,20030728,Mozilla,Firebird,0.6.1",
"586fbc12-d656-11ef-9afa-acde48001122","Mozilla/5.0 (Windows; U; Win98; de-DE; rv:1.5a) Gecko/20030728 Mozilla Firebird/0.6.1","Mozilla,5.0,Windows,U,Win98,de,DE,rv,1.5a,Gecko,20030728,Mozilla,Firebird,0.6.1",
"58cae704-d656-11ef-9afa-acde48001122","Mozilla/5.0 (X11; U; SunOS sun4u; en-US; rv:1.4b) Gecko/20030517 Mozilla Firebird/0.6","Mozilla,5.0,X11,U,SunOS,sun4u,en,US,rv,1.4b,Gecko,20030517,Mozilla,Firebird,0.6",
"5921b23c-d656-11ef-9afa-acde48001122","Mozilla/5.0 (X11; U; Linux i686; en-US; rv:1.4b) Gecko/20030630 Mozilla Firebird/0.6","Mozilla,5.0,X11,U,Linux,i686,en,US,rv,1.4b,Gecko,20030630,Mozilla,Firebird,0.6",
"597aae8c-d656-11ef-9afa-acde48001122","Mozilla/5.0 (X11; U; Linux i686; en-US; rv:1.4b) Gecko/20030607 Mozilla Firebird/0.6","Mozilla,5.0,X11,U,Linux,i686,en,US,rv,1.4b,Gecko,20030607,Mozilla,Firebird,0.6",
"59d4b904-d656-11ef-9afa-acde48001122","Mozilla/5.0 (X11; U; Linux i686; en-US; rv:1.4b) Gecko/20030516 Mozilla Firebird/0.6","Mozilla,5.0,X11,U,Linux,i686,en,US,rv,1.4b,Gecko,20030516,Mozilla,Firebird,0.6",
"5a3230e8-d656-11ef-9afa-acde48001122","Mozilla/5.0 (X11; U; Linux i686; en-US; rv:1.4b) Gecko/20030505 Mozilla Firebird/0.6","Mozilla,5.0,X11,U,Linux,i686,en,US,rv,1.4b,Gecko,20030505,Mozilla,Firebird,0.6",
"5a8caffa-d656-11ef-9afa-acde48001122","Mozilla/5.0 (X11; U; Linux i686; en-US; rv:1.4a) Gecko/20030425 Mozilla Firebird/0.6","Mozilla,5.0,X11,U,Linux,i686,en,US,rv,1.4a,Gecko,20030425,Mozilla,Firebird,0.6",
"5ae411fa-d656-11ef-9afa-acde48001122","Mozilla/5.0 (Windows; U; WinNT4.0; en-US; rv:1.4b) Gecko/20030610 Mozilla Firebird/0.6","Mozilla,5.0,Windows,U,WinNT4.0,en,US,rv,1.4b,Gecko,20030610,Mozilla,Firebird,0.6",
"5b3dd578-d656-11ef-9afa-acde48001122","Mozilla/5.0 (Windows; U; Windows NT 5.1; en-US; rv:x.xx) Gecko/20030504 Mozilla Firebird/0.6","Mozilla,5.0,Windows,U,Windows,NT,5.1,en,US,rv,x.xx,Gecko,20030504,Mozilla,Firebird,0.6",
"5b977736-d656-11ef-9afa-acde48001122","Mozilla/5.0 (Windows; U; Windows NT 5.1; en-US; rv:1.5a) Gecko/20030702 Mozilla Firebird/0.6","Mozilla,5.0,Windows,U,Windows,NT,5.1,en,US,rv,1.5a,Gecko,20030702,Mozilla,Firebird,0.6",
"5bf1b34a-d656-11ef-9afa-acde48001122","Mozilla/5.0 (Windows; U; Windows NT 5.1; en-US; rv:1.5a) Gecko/20030630 Mozilla Firebird/0.6","Mozilla,5.0,Windows,U,Windows,NT,5.1,en,US,rv,1.5a,Gecko,20030630,Mozilla,Firebird,0.6",
"5c575e98-d656-11ef-9afa-acde48001122","Mozilla/5.0 (Windows; U; Windows NT 5.1; en-US; rv:1.4b) Gecko/20030615 Mozilla Firebird/0.6","Mozilla,5.0,Windows,U,Windows,NT,5.1,en,US,rv,1.4b,Gecko,20030615,Mozilla,Firebird,0.6",
"5cb21b26-d656-11ef-9afa-acde48001122","Mozilla/5.0 (Windows; U; Windows NT 5.1; en-US; rv:1.4b) Gecko/20030516 Mozilla Firebird/0.6","Mozilla,5.0,Windows,U,Windows,NT,5.1,en,US,rv,1.4b,Gecko,20030516,Mozilla,Firebird,0.6",
"5d089938-d656-11ef-9afa-acde48001122","Mozilla/5.0 (Windows; U; Windows NT 5.1; en-US; rv:1.4b) Gecko/20030503 Mozilla Firebird/0.6","Mozilla,5.0,Windows,U,Windows,NT,5.1,en,US,rv,1.4b,Gecko,20030503,Mozilla,Firebird,0.6",
"5d60d3fa-d656-11ef-9afa-acde48001122","Mozilla/5.0 (Windows; U; Windows NT 5.1; de-DE; rv:1.4b) Gecko/20030516 Mozilla Firebird/0.6","Mozilla,5.0,Windows,U,Windows,NT,5.1,de,DE,rv,1.4b,Gecko,20030516,Mozilla,Firebird,0.6",
"5dbb2b3e-d656-11ef-9afa-acde48001122","Mozilla/5.0 (Windows; U; Windows NT 5.0; en-US; rv:1.4b) Gecko/20030516 Mozilla Firebird/0.6","Mozilla,5.0,Windows,U,Windows,NT,5.0,en,US,rv,1.4b,Gecko,20030516,Mozilla,Firebird,0.6",
"5e130700-d656-11ef-9afa-acde48001122","Mozilla/5.0 (Windows; U; Windows NT 5.0; en-US; rv:1.4b) Gecko/20030514 Mozilla Firebird/0.6","Mozilla,5.0,Windows,U,Windows,NT,5.0,en,US,rv,1.4b,Gecko,20030514,Mozilla,Firebird,0.6",
"5e672f10-d656-11ef-9afa-acde48001122","Mozilla/5.0 (Windows; U; Windows NT 5.0; en-US; rv:1.4b) Gecko/20030504 Mozilla Firebird/0.6","Mozilla,5.0,Windows,U,Windows,NT,5.0,en,US,rv,1.4b,Gecko,20030504,Mozilla,Firebird,0.6",
"5ebcfb2a-d656-11ef-9afa-acde48001122","Mozilla/5.0 (Windows; U; Windows NT 5.0; de-DE; rv:1.4b) Gecko/20030516 Mozilla Firebird/0.6","Mozilla,5.0,Windows,U,Windows,NT,5.0,de,DE,rv,1.4b,Gecko,20030516,Mozilla,Firebird,0.6",
"5f13a222-d656-11ef-9afa-acde48001122","Mozilla/5.0 (Windows; U; Win98; en-US; rv:1.4b) Gecko/20030516 Mozilla Firebird/0.6","Mozilla,5.0,Windows,U,Win98,en,US,rv,1.4b,Gecko,20030516,Mozilla,Firebird,0.6",
"5f694cc2-d656-11ef-9afa-acde48001122","Mozilla/5.0 (Windows; U; Win98; de-DE; rv:1.4b) Gecko/20030516 Mozilla Firebird/0.6","Mozilla,5.0,Windows,U,Win98,de,DE,rv,1.4b,Gecko,20030516,Mozilla,Firebird,0.6",
"5fc0a2ba-d656-11ef-9afa-acde48001122","Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:101.0) Gecko/20100101 Firefox/101.0","Mozilla,5.0,Macintosh,Intel,Mac,OS,X,10.15,rv,101.0,Gecko,20100101,Firefox,101.0",
"601a7ace-d656-11ef-9afa-acde48001122","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:99.0) Gecko/20100101 Firefox/99.0","Mozilla,5.0,Windows,NT,10.0,Win64,x64,rv,99.0,Gecko,20100101,Firefox,99.0",
"60738ba0-d656-11ef-9afa-acde48001122","Mozilla/5.0 (Windows NT 6.1; WOW64; rv:77.0) Gecko/20190101 Firefox/77.0","Mozilla,5.0,Windows,NT,6.1,WOW64,rv,77.0,Gecko,20190101,Firefox,77.0",
"60c94efa-d656-11ef-9afa-acde48001122","Mozilla/5.0 (Windows NT 10.0; WOW64; rv:77.0) Gecko/20100101 Firefox/77.0","Mozilla,5.0,Windows,NT,10.0,WOW64,rv,77.0,Gecko,20100101,Firefox,77.0",
"6121613a-d656-11ef-9afa-acde48001122","Mozilla/5.0 (X11; Linux ppc64le; rv:75.0) Gecko/20100101 Firefox/75.0","Mozilla,5.0,X11,Linux,ppc64le,rv,75.0,Gecko,20100101,Firefox,75.0",
"6179ebca-d656-11ef-9afa-acde48001122","Mozilla/5.0 (Windows NT 6.1; WOW64; rv:39.0) Gecko/20100101 Firefox/75.0","Mozilla,5.0,Windows,NT,6.1,WOW64,rv,39.0,Gecko,20100101,Firefox,75.0",
"61d1b116-d656-11ef-9afa-acde48001122","Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10.10; rv:75.0) Gecko/20100101 Firefox/75.0","Mozilla,5.0,Macintosh,U,Intel,Mac,OS,X,10.10,rv,75.0,Gecko,20100101,Firefox,75.0",
"62309d84-d656-11ef-9afa-acde48001122","Mozilla/5.0 (X11; Linux; rv:74.0) Gecko/20100101 Firefox/74.0","Mozilla,5.0,X11,Linux,rv,74.0,Gecko,20100101,Firefox,74.0",
"62892f62-d656-11ef-9afa-acde48001122","Mozilla/5.0 (Macintosh; Intel Mac OS X 10.13; rv:61.0) Gecko/20100101 Firefox/73.0","Mozilla,5.0,Macintosh,Intel,Mac,OS,X,10.13,rv,61.0,Gecko,20100101,Firefox,73.0",
"62e46f08-d656-11ef-9afa-acde48001122","Mozilla/5.0 (X11; OpenBSD i386; rv:72.0) Gecko/20100101 Firefox/72.0","Mozilla,5.0,X11,OpenBSD,i386,rv,72.0,Gecko,20100101,Firefox,72.0",
"633ce192-d656-11ef-9afa-acde48001122","Mozilla/5.0 (Windows NT 6.3; WOW64; rv:71.0) Gecko/20100101 Firefox/71.0","Mozilla,5.0,Windows,NT,6.3,WOW64,rv,71.0,Gecko,20100101,Firefox,71.0",
"6396c59a-d656-11ef-9afa-acde48001122","Mozilla/5.0 (Windows NT 6.1; WOW64; rv:70.0) Gecko/20191022 Firefox/70.0","Mozilla,5.0,Windows,NT,6.1,WOW64,rv,70.0,Gecko,20191022,Firefox,70.0",
